id,neg,neu,pos,compound
13094,0.011,0.895,0.094,0.9752
21058,0.109,0.871,0.021,-0.9916
641,0.129,0.825,0.045,-0.9933
13585,0.012,0.839,0.15,0.9509
7159,0.103,0.853,0.045,-0.945
9586,0.062,0.886,0.051,-0.7695
4598,0.101,0.776,0.123,0.4615
13582,0.166,0.743,0.092,-0.9807
16242,0.103,0.874,0.023,-0.93
11081,0.099,0.741,0.16,0.9962
10390,0.054,0.872,0.074,0.8658
17937,0.142,0.781,0.078,-0.9955
13235,0.131,0.821,0.048,-0.9914
7006,0.046,0.837,0.117,0.9973
2310,0.066,0.887,0.047,-0.8677
4869,0.095,0.794,0.111,0.7728
19835,0.092,0.791,0.116,0.3612
13578,0.047,0.55,0.404,0.9577
20694,0.036,0.914,0.05,0.5095
11330,0.106,0.8,0.094,-0.4417
4194,0.102,0.829,0.07,-0.9284
5900,0.046,0.833,0.121,0.9886
4516,0.182,0.738,0.079,-0.9902
17395,0.056,0.832,0.112,0.9908
4661,0.062,0.893,0.046,-0.6908
11984,0.207,0.723,0.07,-0.9858
15759,0.18,0.82,0.0,-0.9921
15009,0.059,0.827,0.114,0.8765
17325,0.179,0.821,0.0,-0.9382
8196,0.151,0.776,0.073,-0.9936
3381,0.03,0.84,0.13,0.993
13124,0.151,0.776,0.073,-0.959
4934,0.112,0.888,0.0,-0.7351
17572,0.093,0.788,0.119,0.9071
5455,0.067,0.888,0.045,-0.123
10758,0.184,0.77,0.046,-0.9766
18091,0.206,0.694,0.101,-0.8442
22998,0.075,0.867,0.057,-0.8743
16844,0.117,0.81,0.074,-0.6705
8653,0.079,0.804,0.117,0.967
11541,0.108,0.833,0.058,-0.9178
15016,0.066,0.91,0.024,-0.4767
13297,0.201,0.688,0.111,-0.5038
10949,0.169,0.744,0.087,-0.9824
14417,0.085,0.884,0.031,-0.9871
5222,0.108,0.849,0.043,-0.9842
15953,0.0,0.799,0.201,0.9442
8427,0.118,0.808,0.074,-0.987
10407,0.039,0.766,0.194,0.9933
15259,0.169,0.831,0.0,-0.9465
9784,0.141,0.726,0.133,-0.2691
15733,0.202,0.783,0.015,-0.9891
11455,0.176,0.776,0.048,-0.9976
16341,0.021,0.938,0.041,0.6476
17912,0.08,0.783,0.137,0.9826
3300,0.099,0.82,0.081,-0.6808
15882,0.025,0.875,0.1,0.9614
16367,0.129,0.778,0.093,-0.743
34,0.079,0.84,0.081,0.1978
8140,0.19,0.713,0.097,-0.9953
17473,0.063,0.837,0.1,0.9938
10626,0.051,0.849,0.1,0.974
8890,0.091,0.866,0.042,-0.9475
14418,0.152,0.733,0.115,-0.9463
15031,0.0,1.0,0.0,0.0
18053,0.195,0.736,0.069,-0.9978
13554,0.035,0.924,0.041,0.128
4067,0.046,0.764,0.19,0.997
7110,0.043,0.854,0.103,0.9678
19124,0.0,0.841,0.159,0.6249
17463,0.058,0.824,0.118,0.9887
19458,0.099,0.901,0.0,-0.3182
16224,0.185,0.722,0.093,-0.9922
4031,0.049,0.909,0.042,-0.1779
12164,0.037,0.79,0.173,0.9217
7331,0.098,0.772,0.13,0.9907
18583,0.235,0.765,0.0,-0.9607
20377,0.053,0.841,0.105,0.9072
16059,0.079,0.816,0.105,0.169
20730,0.01,0.88,0.11,0.9924
1531,0.077,0.889,0.033,-0.9851
14983,0.081,0.85,0.069,-0.8902
19385,0.094,0.826,0.08,0.194
19999,0.048,0.861,0.09,0.9018
10043,0.06,0.89,0.049,-0.4073
10182,0.099,0.783,0.117,0.9004
4392,0.157,0.776,0.066,-0.9287
17480,0.074,0.847,0.079,0.5527
9355,0.078,0.864,0.058,-0.8553
4780,0.02,0.909,0.071,0.9337
11870,0.091,0.85,0.059,-0.9321
1100,0.09,0.856,0.054,-0.9769
15400,0.0,1.0,0.0,0.0
12389,0.076,0.828,0.096,0.9634
17398,0.117,0.806,0.077,-0.2682
10026,0.023,0.848,0.129,0.9808
13726,0.168,0.787,0.045,-0.9812
807,0.101,0.741,0.157,0.9873
23346,0.289,0.625,0.087,-0.9974
9995,0.069,0.863,0.068,-0.0818
19173,0.122,0.744,0.134,-0.0021
18190,0.158,0.715,0.126,-0.9715
68,0.085,0.855,0.059,-0.9231
2257,0.082,0.796,0.121,0.9393
10215,0.288,0.712,0.0,-0.9559
9543,0.067,0.838,0.094,0.9736
20358,0.144,0.821,0.035,-0.8442
12080,0.092,0.86,0.048,-0.9163
3588,0.197,0.712,0.091,-0.997
891,0.06,0.868,0.073,0.9067
23322,0.13,0.789,0.081,-0.9997
18961,0.032,0.861,0.107,0.971
9219,0.179,0.737,0.083,-0.9931
14237,0.205,0.753,0.042,-0.9984
2777,0.074,0.879,0.047,-0.7351
9539,0.169,0.736,0.095,-0.9993
12349,0.097,0.792,0.112,0.8706
11301,0.177,0.786,0.038,-0.8591
5653,0.176,0.782,0.042,-0.9941
7002,0.038,0.758,0.204,0.9964
15723,0.025,0.885,0.091,0.95
1612,0.07,0.866,0.065,-0.8243
18245,0.023,0.918,0.059,0.492
20568,0.057,0.871,0.071,0.4391
1707,0.07,0.819,0.111,0.9762
6644,0.0,0.944,0.056,0.5106
19697,0.05,0.91,0.04,-0.4473
3435,0.024,0.745,0.232,0.9657
4937,0.13,0.796,0.074,-0.9662
11016,0.166,0.805,0.029,-0.9911
18206,0.069,0.867,0.063,-0.616
199,0.032,0.894,0.073,0.9666
8865,0.107,0.818,0.075,-0.9921
17036,0.0,0.9,0.1,0.7717
18887,0.024,0.889,0.087,0.9823
5311,0.087,0.813,0.1,0.5389
15890,0.07,0.804,0.125,0.9732
20987,0.13,0.795,0.075,-0.9935
21236,0.145,0.762,0.094,-0.9857
9206,0.079,0.857,0.064,-0.5262
19200,0.076,0.861,0.063,-0.9158
20640,0.077,0.887,0.036,-0.9595
14411,0.054,0.788,0.158,0.8716
11802,0.179,0.775,0.046,-0.9937
17617,0.055,0.863,0.081,0.7178
6058,0.059,0.831,0.11,0.9927
2382,0.04,0.866,0.094,0.6908
3341,0.07,0.893,0.036,-0.9286
1701,0.072,0.844,0.085,0.8874
5934,0.077,0.818,0.104,0.9331
10739,0.124,0.82,0.056,-0.94
2860,0.078,0.823,0.099,0.8791
2586,0.099,0.836,0.065,-0.9039
5185,0.021,0.837,0.142,0.9929
9146,0.038,0.84,0.123,0.9972
2007,0.038,0.893,0.069,0.7745
17267,0.039,0.961,0.0,-0.3612
7294,0.046,0.848,0.106,0.9904
12672,0.049,0.815,0.137,0.6908
2555,0.092,0.831,0.077,-0.708
21163,0.179,0.763,0.057,-0.9592
2256,0.053,0.913,0.034,-0.92
2129,0.077,0.839,0.084,0.2023
20451,0.146,0.806,0.047,-0.8316
17732,0.137,0.782,0.081,-0.977
13772,0.069,0.825,0.107,0.9177
261,0.023,0.799,0.178,0.9912
4669,0.0,0.954,0.046,0.4767
6673,0.025,0.89,0.085,0.9807
18523,0.127,0.796,0.077,-0.9956
3486,0.017,0.877,0.106,0.9881
3784,0.034,0.919,0.047,0.7881
16892,0.095,0.731,0.173,0.3818
734,0.0,0.91,0.09,0.7003
4006,0.088,0.827,0.085,-0.4588
23127,0.089,0.832,0.079,-0.9923
18425,0.096,0.822,0.082,-0.4453
16015,0.017,0.821,0.162,0.9925
19876,0.144,0.807,0.049,-0.9926
7015,0.028,0.902,0.071,0.926
3794,0.02,0.87,0.109,0.975
22636,0.068,0.855,0.076,0.541
21119,0.091,0.85,0.059,-0.6793
8932,0.11,0.658,0.232,0.9976
15473,0.0,0.828,0.172,0.6588
21007,0.008,0.923,0.069,0.9079
19336,0.016,0.884,0.1,0.9681
13599,0.059,0.886,0.054,-0.1531
2631,0.195,0.712,0.093,-0.9967
15437,0.055,0.89,0.055,-0.0018
1576,0.124,0.784,0.091,-0.9915
13132,0.0,0.887,0.113,0.7778
14522,0.084,0.886,0.029,-0.9287
5679,0.0,0.951,0.049,0.3818
7500,0.048,0.887,0.064,0.718
4226,0.0,0.908,0.092,0.7579
4682,0.042,0.85,0.108,0.9953
4379,0.168,0.748,0.084,-0.9951
8847,0.222,0.627,0.15,-0.9937
8601,0.062,0.828,0.11,0.9813
15046,0.149,0.795,0.056,-0.9744
9811,0.082,0.82,0.098,0.9586
20106,0.059,0.885,0.056,-0.3127
14581,0.0,1.0,0.0,0.0
2596,0.079,0.863,0.058,-0.9083
2608,0.042,0.917,0.041,-0.6486
15751,0.047,0.853,0.1,0.961
17479,0.128,0.806,0.065,-0.9452
22096,0.12,0.825,0.056,-0.992
14343,0.066,0.791,0.143,0.8932
11504,0.059,0.846,0.095,0.995
16439,0.044,0.926,0.03,-0.5968
21279,0.078,0.837,0.085,0.3745
4342,0.084,0.82,0.096,0.6096
21010,0.044,0.868,0.088,0.9643
9938,0.188,0.779,0.032,-0.9501
21830,0.143,0.791,0.066,-0.9945
17527,0.0,0.959,0.041,0.3919
22431,0.077,0.87,0.053,-0.3751
14448,0.11,0.875,0.015,-0.9786
12533,0.026,0.899,0.075,0.9665
616,0.09,0.792,0.118,0.9888
3043,0.131,0.764,0.105,-0.9274
1219,0.099,0.796,0.105,0.1352
10839,0.07,0.876,0.054,-0.5162
6232,0.066,0.87,0.063,-0.4728
17253,0.13,0.822,0.048,-0.9897
18632,0.053,0.881,0.066,0.2846
17537,0.087,0.855,0.058,-0.9532
8515,0.092,0.828,0.08,-0.8363
22647,0.092,0.834,0.074,-0.8247
249,0.11,0.836,0.054,-0.9657
22937,0.184,0.765,0.052,-0.9997
182,0.043,0.866,0.091,0.34
20894,0.212,0.737,0.052,-0.9972
3389,0.133,0.828,0.039,-0.9565
10842,0.031,0.848,0.121,0.9983
9474,0.011,0.88,0.109,0.9888
5925,0.144,0.807,0.05,-0.8537
8996,0.015,0.667,0.318,0.9735
4706,0.056,0.926,0.018,-0.5511
14021,0.04,0.837,0.123,0.9265
146,0.032,0.884,0.084,0.9404
2253,0.082,0.847,0.071,-0.577
12294,0.126,0.833,0.041,-0.9559
1149,0.08,0.781,0.138,0.9893
9484,0.075,0.758,0.167,0.9877
11954,0.138,0.862,0.0,-0.4926
17320,0.132,0.811,0.057,-0.9906
20666,0.05,0.832,0.118,0.9902
4662,0.085,0.791,0.125,0.968
10446,0.023,0.808,0.169,0.9939
16558,0.013,0.835,0.152,0.9965
16472,0.013,0.841,0.146,0.9901
203,0.016,0.911,0.072,0.5859
12804,0.032,0.862,0.106,0.9638
20385,0.091,0.85,0.059,-0.9885
7630,0.072,0.812,0.116,0.9842
11496,0.106,0.806,0.088,-0.6999
15409,0.117,0.833,0.049,-0.7516
21348,0.059,0.848,0.093,0.9792
15875,0.045,0.879,0.076,0.25
19469,0.247,0.638,0.116,-0.8355
17507,0.149,0.782,0.069,-0.9981
2133,0.098,0.74,0.162,0.9826
894,0.107,0.839,0.055,-0.8668
8918,0.083,0.84,0.077,-0.3064
19153,0.1,0.809,0.091,-0.0534
16785,0.032,0.896,0.072,0.9455
21003,0.157,0.742,0.101,-0.9908
20939,0.0,0.961,0.039,0.0772
17108,0.017,0.895,0.087,0.964
20313,0.147,0.685,0.169,0.5109
9500,0.044,0.87,0.086,0.9017
9137,0.093,0.833,0.074,-0.4051
20999,0.0,0.923,0.077,0.6036
18573,0.174,0.767,0.059,-0.9806
7086,0.013,0.867,0.12,0.8979
6995,0.075,0.881,0.044,-0.9286
20553,0.058,0.915,0.027,-0.8814
12085,0.202,0.724,0.075,-0.9624
10866,0.083,0.861,0.056,-0.8639
19873,0.109,0.687,0.204,0.5719
21779,0.167,0.753,0.081,-0.9978
17980,0.099,0.901,0.0,-0.891
17386,0.195,0.693,0.112,-0.9598
19858,0.057,0.832,0.111,0.9444
10695,0.06,0.895,0.046,-0.5516
4818,0.152,0.719,0.129,-0.9777
15962,0.13,0.845,0.025,-0.9123
17369,0.037,0.891,0.072,0.9392
106,0.077,0.872,0.05,-0.9451
4831,0.146,0.756,0.097,-0.977
9350,0.059,0.804,0.137,0.9874
6550,0.189,0.73,0.08,-0.9937
14534,0.133,0.825,0.041,-0.9381
17515,0.023,0.881,0.096,0.6478
13989,0.037,0.786,0.177,0.9929
12941,0.109,0.858,0.033,-0.9929
21440,0.0,0.896,0.104,0.9022
10109,0.045,0.897,0.058,0.6768
21116,0.165,0.786,0.049,-0.998
3529,0.123,0.813,0.064,-0.9838
4218,0.098,0.757,0.145,0.9374
21124,0.068,0.883,0.049,-0.8297
3351,0.127,0.788,0.086,-0.9178
19831,0.121,0.813,0.065,-0.8255
10882,0.047,0.93,0.023,-0.7776
2,0.049,0.907,0.044,-0.6808
16685,0.106,0.819,0.074,-0.7357
14388,0.0,0.947,0.053,0.25
2932,0.187,0.667,0.146,-0.9694
920,0.149,0.755,0.096,-0.9807
15940,0.113,0.836,0.051,-0.7351
4158,0.094,0.763,0.143,0.979
10719,0.121,0.719,0.161,0.921
17944,0.097,0.809,0.094,-0.3575
20266,0.175,0.789,0.035,-0.8623
16212,0.055,0.791,0.154,0.9872
16973,0.0,0.658,0.342,0.6892
11277,0.106,0.876,0.018,-0.9652
21716,0.103,0.806,0.091,-0.9099
18348,0.052,0.888,0.059,-0.0516
13530,0.145,0.805,0.049,-0.9944
18062,0.133,0.763,0.105,-0.9857
1404,0.044,0.872,0.084,0.34
19944,0.058,0.847,0.094,0.933
9604,0.0,0.972,0.028,0.4019
7345,0.135,0.765,0.101,-0.9706
20705,0.127,0.789,0.083,-0.9782
5049,0.121,0.766,0.113,-0.8144
7141,0.08,0.815,0.105,0.9021
11495,0.052,0.791,0.157,0.9758
8169,0.044,0.84,0.116,0.9715
20296,0.0,0.939,0.061,0.7579
165,0.015,0.908,0.078,0.9745
11630,0.06,0.85,0.089,0.8825
21888,0.114,0.759,0.127,0.7043
18130,0.062,0.915,0.023,-0.8591
14239,0.051,0.93,0.019,-0.4215
20454,0.174,0.79,0.036,-0.9951
18982,0.121,0.799,0.08,-0.9941
3024,0.083,0.81,0.108,0.9449
863,0.052,0.885,0.062,0.6492
18231,0.209,0.74,0.051,-0.9984
15474,0.034,0.966,0.0,-0.3612
20773,0.019,0.933,0.047,0.3926
21106,0.176,0.77,0.054,-0.9928
5165,0.105,0.808,0.087,-0.9373
3561,0.143,0.8,0.058,-0.9911
3757,0.042,0.909,0.049,0.5058
18693,0.159,0.841,0.0,-0.9839
17755,0.028,0.836,0.136,0.9887
10180,0.071,0.761,0.168,0.9985
66,0.033,0.917,0.05,0.6428
4399,0.109,0.835,0.055,-0.9867
22768,0.026,0.886,0.088,0.8938
19305,0.081,0.823,0.095,0.6634
5543,0.168,0.786,0.046,-0.9949
18086,0.039,0.902,0.059,0.9393
8035,0.038,0.81,0.152,0.995
21158,0.03,0.854,0.117,0.9822
3370,0.108,0.809,0.084,-0.9619
75,0.07,0.828,0.101,0.9639
3547,0.11,0.775,0.115,0.0151
20413,0.028,0.823,0.15,0.9949
9972,0.081,0.785,0.134,0.5106
3744,0.112,0.816,0.073,-0.91
18007,0.042,0.888,0.07,0.9374
4429,0.019,0.919,0.062,0.8898
7683,0.081,0.801,0.118,0.9456
2066,0.055,0.881,0.063,0.627
9304,0.159,0.809,0.032,-0.9935
23282,0.037,0.865,0.098,0.9814
1233,0.083,0.846,0.071,-0.8176
13273,0.133,0.828,0.04,-0.9811
13931,0.045,0.859,0.095,0.9423
15335,0.132,0.817,0.051,-0.9205
8807,0.055,0.844,0.101,0.9647
12615,0.111,0.866,0.023,-0.9914
4041,0.063,0.871,0.066,-0.0231
5154,0.12,0.835,0.045,-0.9451
19023,0.071,0.908,0.022,-0.7184
17558,0.081,0.826,0.094,0.3901
1322,0.091,0.841,0.068,-0.938
5929,0.038,0.872,0.09,0.9793
5798,0.038,0.89,0.073,0.9167
307,0.066,0.841,0.092,0.9423
1302,0.094,0.809,0.097,0.168
4703,0.045,0.865,0.09,0.9733
703,0.113,0.843,0.044,-0.9799
2484,0.045,0.852,0.104,0.9629
6949,0.066,0.853,0.081,0.5574
3048,0.047,0.872,0.081,0.5509
8942,0.077,0.806,0.117,0.1027
515,0.062,0.819,0.119,0.8128
5983,0.035,0.876,0.088,0.9714
7863,0.005,0.922,0.073,0.9774
12308,0.168,0.78,0.052,-0.9564
2936,0.078,0.846,0.076,-0.4618
10895,0.036,0.865,0.099,0.9623
3973,0.0,0.974,0.026,0.4019
16617,0.015,0.898,0.086,0.9818
13600,0.105,0.755,0.14,0.296
19126,0.033,0.832,0.135,0.9908
19759,0.117,0.747,0.136,0.7863
15816,0.085,0.832,0.084,0.8271
19976,0.017,0.948,0.035,0.379
13256,0.102,0.852,0.045,-0.7717
18717,0.044,0.84,0.116,0.9794
16434,0.085,0.826,0.089,0.1263
5848,0.022,0.95,0.027,0.4404
18385,0.247,0.753,0.0,-0.9774
53,0.139,0.762,0.098,-0.9727
773,0.052,0.839,0.109,0.9935
20,0.052,0.844,0.104,0.9782
8281,0.014,0.868,0.118,0.9976
5422,0.133,0.783,0.084,-0.9838
8187,0.097,0.813,0.089,-0.228
4030,0.119,0.814,0.068,-0.9729
9223,0.048,0.888,0.065,0.9168
10596,0.044,0.874,0.082,0.9906
16935,0.0,0.93,0.07,0.5994
4880,0.0,0.88,0.12,0.8555
22781,0.074,0.81,0.116,0.9933
15290,0.0,0.879,0.121,0.9509
17740,0.041,0.838,0.121,0.9808
12599,0.143,0.794,0.062,-0.5837
2326,0.103,0.766,0.131,0.9574
8127,0.068,0.712,0.22,0.9942
16349,0.122,0.808,0.069,-0.8066
4728,0.0,0.988,0.012,0.0644
14317,0.091,0.751,0.158,0.946
11044,0.017,0.885,0.098,0.9968
16062,0.126,0.807,0.068,-0.9255
1246,0.073,0.836,0.091,0.7634
4929,0.121,0.841,0.037,-0.9907
15664,0.052,0.853,0.095,0.891
16060,0.065,0.835,0.1,0.9097
4812,0.076,0.806,0.119,0.9053
10307,0.068,0.831,0.1,0.9783
5975,0.074,0.828,0.098,0.9314
17453,0.052,0.826,0.123,0.9752
3733,0.048,0.85,0.102,0.988
14803,0.118,0.735,0.147,0.8553
14002,0.256,0.692,0.051,-0.9703
16832,0.109,0.785,0.106,-0.7036
20743,0.163,0.734,0.103,-0.895
18645,0.105,0.71,0.186,0.9845
2378,0.035,0.872,0.094,0.9514
22221,0.131,0.795,0.074,-0.9998
15101,0.026,0.851,0.123,0.998
4523,0.151,0.766,0.084,-0.9891
7285,0.062,0.825,0.113,0.9828
21958,0.028,0.859,0.113,0.9531
7880,0.069,0.803,0.128,0.9555
21831,0.056,0.824,0.12,0.9957
7387,0.105,0.828,0.067,-0.9273
1018,0.0,0.915,0.085,0.5994
23348,0.023,0.838,0.139,0.9653
8655,0.101,0.783,0.116,0.7753
4413,0.084,0.82,0.096,0.6096
16432,0.102,0.84,0.059,-0.9752
10427,0.024,0.901,0.075,0.9917
6280,0.0,0.939,0.061,0.6705
3530,0.032,0.853,0.115,0.994
16463,0.0,0.829,0.171,0.857
2867,0.109,0.774,0.118,0.7844
7716,0.041,0.899,0.061,0.8123
12677,0.098,0.675,0.226,0.5499
6505,0.049,0.931,0.02,-0.4505
12087,0.091,0.843,0.066,-0.8963
20386,0.051,0.82,0.13,0.9798
